id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
216,216,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,22.94,19.09624144,TON,3,MEI,2022,SURPLUS
217,217,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,72.64,14.62603789,TON,3,MEI,2022,SURPLUS
218,218,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,98.86,50.41505,TON,3,MEI,2022,SURPLUS
219,219,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.21,1.214397783,TON,3,MEI,2022,SURPLUS
220,220,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,80.19,-10.1353655,TON,3,MEI,2022,DEFISIT
221,221,32.18,3218,PANGANDARAN,BERAS,803.4190153,2.125.94,1.322.52,TON,4,MEI,2022,SURPLUS
222,222,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,7.75,7.38,TON,4,MEI,2022,SURPLUS
223,223,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.54,-17.82,TON,4,MEI,2022,DEFISIT
224,224,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.33,1.6,TON,4,MEI,2022,SURPLUS
225,225,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,21.49,19.22,TON,4,MEI,2022,SURPLUS
226,226,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.49,0.95,TON,4,MEI,2022,SURPLUS
227,227,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,11,7.16,TON,4,MEI,2022,SURPLUS
228,228,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,84.2,26.19,TON,4,MEI,2022,SURPLUS
229,229,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,109.71,61.27,TON,4,MEI,2022,SURPLUS
230,230,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.88,2.88,TON,4,MEI,2022,DEFISIT
231,231,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,85.13,-5.2,TON,4,MEI,2022,DEFISIT
232,232,32.18,3218,PANGANDARAN,BERAS,803.4190153,2125.93843,1322.519415,TON,5,MEI,2022,SURPLUS
233,233,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,7.75,7.383772809,TON,5,MEI,2022,SURPLUS
234,234,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.54,0.175592955,TON,5,MEI,2022,SURPLUS
235,235,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.33,1.600187539,TON,5,MEI,2022,SURPLUS
236,236,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,13.893,11.61574588,TON,5,MEI,2022,SURPLUS
237,237,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.29,0.747397753,TON,5,MEI,2022,SURPLUS
238,238,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,11,7.15624144,TON,5,MEI,2022,SURPLUS
239,239,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,72.15,14.13603789,TON,5,MEI,2022,SURPLUS
240,240,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,109.71,61.26505,TON,5,MEI,2022,SURPLUS
241,241,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.875,2.879397783,TON,5,MEI,2022,SURPLUS
242,242,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,85.125,-5.20036555,TON,5,MEI,2022,DEFISIT
243,243,32.18,3218,PANGANDARAN,BERAS,803.4190153,1926.902565,1123.48355,TON,1,JUNI,2022,SURPLUS
244,244,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,10.175,9.808772809,TON,1,JUNI,2022,SURPLUS
245,245,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,6.075,-17.289407,TON,1,JUNI,2022,DEFISIT
246,246,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,3.65,-6.07981246,TON,1,JUNI,2022,DEFISIT
247,247,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.725,6.447745883,TON,1,JUNI,2022,SURPLUS
248,248,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.215,1.672397753,TON,1,JUNI,2022,DEFISIT
249,249,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.64,5.79624144,TON,1,JUNI,2022,SURPLUS
250,250,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,113.75,55.73603789,TON,1,JUNI,2022,SURPLUS
251,251,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,49.645,1.20005,TON,1,JUNI,2022,SURPLUS
252,252,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,28.715,6.719397783,TON,1,JUNI,2022,SURPLUS
253,253,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,33.125,-57.2003655,TON,1,JUNI,2022,DEFISIT
254,254,32.18,3218,PANGANDARAN,BERAS,803.4190153,1926.202565,1122.78355,TON,2,JUNI,2022,SURPLUS
255,255,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,10.7,10.33377281,TON,2,JUNI,2022,SURPLUS
256,256,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.725,-17.639407,TON,2,JUNI,2022,DEFISIT
257,257,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,3.335,-6.39481246,TON,2,JUNI,2022,DEFISIT
258,258,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.9,6.622745883,TON,2,JUNI,2022,SURPLUS
259,259,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.215,1.672397753,TON,2,JUNI,2022,SURPLUS
260,260,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.64,5.79624144,TON,2,JUNI,2022,SURPLUS
261,261,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.99,50.97603789,TON,2,JUNI,2022,SURPLUS
262,262,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,57.35,8.90505,TON,2,JUNI,2022,SURPLUS
263,263,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.395,1.399397783,TON,2,JUNI,2022,SURPLUS
264,264,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,27.525,-62.8003655,TON,2,JUNI,2022,DEFISIT
265,265,32.18,3218,PANGANDARAN,BERAS,803.4190153,1922.002565,1118.58355,TON,3,JUNI,2022,SURPLUS
266,266,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,10.07,9.703772809,TON,3,JUNI,2022,SURPLUS
267,267,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.83,-17.534407,TON,3,JUNI,2022,DEFISIT
268,268,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,3.405,-6.32481246,TON,3,JUNI,2022,DEFISIT
269,269,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.48,6.202745883,TON,3,JUNI,2022,SURPLUS
270,270,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.83,1.287397753,TON,3,JUNI,2022,SURPLUS
271,271,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.36,5.51624144,TON,3,JUNI,2022,SURPLUS
272,272,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,104.2,46.18603789,TON,3,JUNI,2022,SURPLUS
273,273,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,59.9,11.45505,TON,3,JUNI,2022,SURPLUS
274,274,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.43,1.434397783,TON,3,JUNI,2022,SURPLUS
275,275,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,24.914,-65.4113655,TON,3,JUNI,2022,DEFISIT
276,276,32.18,3218,PANGANDARAN,BERAS,803.4190153,1922.177565,1118.75855,TON,4,JUNI,2022,SURPLUS
277,277,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,10.91,10.54377281,TON,4,JUNI,2022,SURPLUS
278,278,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.83,-17.534407,TON,4,JUNI,2022,DEFISIT
279,279,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,3.405,-6.32481246,TON,4,JUNI,2022,DEFISIT
280,280,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.515,6.237745883,TON,4,JUNI,2022,SURPLUS
281,281,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,15.64,0.097397753,TON,4,JUNI,2022,SURPLUS
282,282,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.5,5.65624144,TON,4,JUNI,2022,SURPLUS
283,283,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,72.29,14.27603789,TON,4,JUNI,2022,SURPLUS
284,284,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,60.85,12.40505,TON,4,JUNI,2022,SURPLUS
285,285,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.5,1.504397783,TON,4,JUNI,2022,SURPLUS
286,286,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,26.93,-63.3953655,TON,4,JUNI,2022,DEFISIT
287,287,32.18,3218,PANGANDARAN,BERAS,803.42,5068.2154,4264.7954,TON,1,JULI,2022,SURPLUS
288,288,32.18,3218,PANGANDARAN,JAGUNG,0.37,10.315,9.945,TON,1,JULI,2022,SURPLUS
289,289,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,19.19,-4.17,TON,1,JULI,2022,DEFISIT
290,290,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.295,0.565,TON,1,JULI,2022,SURPLUS
291,291,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,8.515,6.235,TON,1,JULI,2022,SURPLUS
292,292,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,36.33,20.79,TON,1,JULI,2022,DEFISIT
293,293,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,9.5,5.66,TON,1,JULI,2022,SURPLUS
294,294,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,111.79,53.78,TON,1,JULI,2022,DEFISIT
295,295,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,138.85,90.41,TON,1,JULI,2022,SURPLUS
296,296,32.18,3218,PANGANDARAN,GULA PASIR,22,23.5,1.5,TON,1,JULI,2022,SURPLUS
297,297,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,87.14,-3.19,TON,1,JULI,2022,DEFISIT
298,298,32.18,3218,PANGANDARAN,BERAS,803.42,5075.7404,4272.3204,TON,2,JULI,2022,SURPLUS
299,299,32.18,3218,PANGANDARAN,JAGUNG,0.37,10.525,10.155,TON,2,JULI,2022,SURPLUS
300,300,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,5.69,-17.67,TON,2,JULI,2022,DEFISIT
301,301,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.795,-5.935,TON,2,JULI,2022,DEFISIT
302,302,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,8.515,6.235,TON,2,JULI,2022,SURPLUS
303,303,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,10.08,-5.46,TON,2,JULI,2022,DEFISIT
304,304,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,9.5,5.66,TON,2,JULI,2022,SURPLUS
305,305,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,111.79,53.78,TON,2,JULI,2022,SURPLUS
306,306,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,40.4,-8.04,TON,2,JULI,2022,DEFISIT
307,307,32.18,3218,PANGANDARAN,GULA PASIR,22,23.43,1.43,TON,2,JULI,2022,SURPLUS
308,308,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,80.64,-9.69,TON,2,JULI,2022,DEFISIT
309,309,32.18,3218,PANGANDARAN,BERAS,803.42,5074.6904,4271.2704,TON,3,JULI,2022,SURPLUS
310,310,32.18,3218,PANGANDARAN,JAGUNG,0.37,10.56,10.19,TON,3,JULI,2022,SURPLUS
311,311,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,19.33,-4.03,TON,3,JULI,2022,DEFISIT
312,312,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.155,0.425,TON,3,JULI,2022,SURPLUS
313,313,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,8.69,6.41,TON,3,JULI,2022,SURPLUS
314,314,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,36.47,20.93,TON,3,JULI,2022,SURPLUS
315,315,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,9.15,5.31,TON,3,JULI,2022,SURPLUS
316,316,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,108.71,50.7,TON,3,JULI,2022,SURPLUS
317,317,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,139.9,91.46,TON,3,JULI,2022,SURPLUS
318,318,32.18,3218,PANGANDARAN,GULA PASIR,22,88.855,66.855,TON,3,JULI,2022,SURPLUS
319,319,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,88.015,-2.315,TON,3,JULI,2022,DEFISIT
320,320,32.18,3218,PANGANDARAN,BERAS,803.42,5086.24,4282.82,TON,4,JULI,2022,SURPLUS
321,321,32.18,3218,PANGANDARAN,JAGUNG,0.37,11.75,11.38,TON,4,JULI,2022,SURPLUS
322,322,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,20.66,-2.7,TON,4,JULI,2022,DEFISIT
323,323,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,11.28,1.55,TON,4,JULI,2022,SURPLUS
324,324,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,9.88,7.6,TON,4,JULI,2022,SURPLUS
325,325,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,37.87,22.33,TON,4,JULI,2022,SURPLUS
326,326,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,15.8,11.96,TON,4,JULI,2022,SURPLUS
327,327,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,113.4,55.39,TON,4,JULI,2022,SURPLUS
328,328,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,144.66,96.22,TON,4,JULI,2022,SURPLUS
329,329,32.18,3218,PANGANDARAN,GULA PASIR,22,90.54,68.54,TON,4,JULI,2022,SURPLUS
330,330,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,95.3,4.97,TON,4,JULI,2022,SURPLUS
331,331,32.18,3218,PANGANDARAN,BERAS,803.4190153,12373.81418,11570.39516,TON,1,AGUSTUS,2022,SURPLUS
332,332,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,9.44,9.073772809,TON,1,AGUSTUS,2022,SURPLUS
333,333,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.83,-17.534407,TON,1,AGUSTUS,2022,DEFISIT
334,334,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.12,0.390187539,TON,1,AGUSTUS,2022,SURPLUS
335,335,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.69,6.412745883,TON,1,AGUSTUS,2022,SURPLUS
336,336,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.04,1.497397753,TON,1,AGUSTUS,2022,SURPLUS
337,337,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.15,5.30624144,TON,1,AGUSTUS,2022,SURPLUS
338,338,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,109.69,51.67603789,TON,1,AGUSTUS,2022,SURPLUS
339,339,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,52.76,4.31505,TON,1,AGUSTUS,2022,SURPLUS
340,340,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.43,1.434397783,TON,1,AGUSTUS,2022,SURPLUS
341,341,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,87.28,-3.04536555,TON,1,AGUSTUS,2022,DEFISIT
342,342,32.18,3218,PANGANDARAN,BERAS,803.4190153,12372.06,11568.64098,TON,2,AGUSTUS,2022,SURPLUS
343,343,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,10.385,10.01877281,TON,2,AGUSTUS,2022,SURPLUS
344,344,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,5.935,-17.429407,TON,2,AGUSTUS,2022,DEFISIT
345,345,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.155,0.425187539,TON,2,AGUSTUS,2022,SURPLUS
346,346,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,8.515,6.237745883,TON,2,AGUSTUS,2022,SURPLUS
347,347,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.865,1.322397753,TON,2,AGUSTUS,2022,SURPLUS
348,348,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.15,5.30624144,TON,2,AGUSTUS,2022,SURPLUS
349,349,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,109.2,51.18603789,TON,2,AGUSTUS,2022,SURPLUS
350,350,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.25,4.80505,TON,2,AGUSTUS,2022,SURPLUS
351,351,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.2,2.204397783,TON,2,AGUSTUS,2022,SURPLUS
352,352,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,86.72,-3.60536555,TON,2,AGUSTUS,2022,DEFISIT
353,353,32.18,3218,PANGANDARAN,BERAS,803.4190153,12369.26,11565.84098,TON,3,AGUSTUS,2022,SURPLUS
354,354,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,10.35,9.983772809,TON,3,AGUSTUS,2022,SURPLUS
355,355,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,6.6,-16.764407,TON,3,AGUSTUS,2022,DEFISIT
356,356,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.82,1.090187539,TON,3,AGUSTUS,2022,SURPLUS
357,357,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,9.11,6.832745883,TON,3,AGUSTUS,2022,SURPLUS
358,358,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,18.09,2.547397753,TON,3,AGUSTUS,2022,SURPLUS
359,359,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.5,5.65624144,TON,3,AGUSTUS,2022,SURPLUS
360,360,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,109.9,51.88603789,TON,3,AGUSTUS,2022,SURPLUS
361,361,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,53.6,5.15505,TON,3,AGUSTUS,2022,SURPLUS
362,362,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.15,1.154397783,TON,3,AGUSTUS,2022,SURPLUS
363,363,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,84.9,-5.42536555,TON,3,AGUSTUS,2022,DEFISIT
364,364,32.18,3218,PANGANDARAN,BERAS,803.4190153,12369.96,11566.54098,TON,4,AGUSTUS,2022,SURPLUS
365,365,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.205,39.83877281,TON,4,AGUSTUS,2022,SURPLUS
366,366,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,7,-16.364407,TON,4,AGUSTUS,2022,DEFISIT
367,367,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.33,0.600187539,TON,4,AGUSTUS,2022,SURPLUS
368,368,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.865,2.587745883,TON,4,AGUSTUS,2022,SURPLUS
369,369,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,5.215,-10.3276022,TON,4,AGUSTUS,2022,DEFISIT
370,370,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,9.85,6.00624144,TON,4,AGUSTUS,2022,SURPLUS
371,371,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.5,50.48603789,TON,4,AGUSTUS,2022,SURPLUS
372,372,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,58.15,9.70505,TON,4,AGUSTUS,2022,SURPLUS
373,373,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,24.06,2.064397783,TON,4,AGUSTUS,2022,SURPLUS
374,374,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,89.45,-0.87536555,TON,4,AGUSTUS,2022,DEFISIT
375,375,32.18,3218,PANGANDARAN,BERAS,803.4190153,12377.66,11574.24098,TON,5,AGUSTUS,2022,SURPLUS
376,376,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,42.415,42.04877281,TON,5,AGUSTUS,2022,SURPLUS
377,377,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,8.4,-14.964407,TON,5,AGUSTUS,2022,DEFISIT
378,378,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,11.66,1.930187539,TON,5,AGUSTUS,2022,SURPLUS
379,379,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,6.235,3.957745883,TON,5,AGUSTUS,2022,SURPLUS
380,380,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,6.795,-8.74760225,TON,5,AGUSTUS,2022,DEFISIT
381,381,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,17.2,13.35624144,TON,5,AGUSTUS,2022,SURPLUS
382,382,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,112,53.98603789,TON,5,AGUSTUS,2022,SURPLUS
383,383,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,68.3,19.85505,TON,5,AGUSTUS,2022,SURPLUS
384,384,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,26.37,4.374397783,TON,5,AGUSTUS,2022,SURPLUS
385,385,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,98.9,8.574634451,TON,5,AGUSTUS,2022,SURPLUS
386,386,32.18,3218,PANGANDARAN,BERAS,803.42,2906.93,2103.52,TON,1,SEPTEMBER,2022,SURPLUS
387,387,32.18,3218,PANGANDARAN,JAGUNG,0.37,39.61,39.24,TON,1,SEPTEMBER,2022,SURPLUS
388,388,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,7.04,-16.33,TON,1,SEPTEMBER,2022,DEFISIT
389,389,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.26,0.53,TON,1,SEPTEMBER,2022,SURPLUS
390,390,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,4.62,2.34,TON,1,SEPTEMBER,2022,SURPLUS
391,391,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,17.04,1.5,TON,1,SEPTEMBER,2022,SURPLUS
392,392,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,9.08,5.24,TON,1,SEPTEMBER,2022,SURPLUS
393,393,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,108.5,50.49,TON,1,SEPTEMBER,2022,SURPLUS
394,394,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,55,6.56,TON,1,SEPTEMBER,2022,SURPLUS
395,395,32.18,3218,PANGANDARAN,GULA PASIR,22,23.43,1.43,TON,1,SEPTEMBER,2022,SURPLUS
396,396,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,93.65,3.32,TON,1,SEPTEMBER,2022,SURPLUS
397,397,32.18,3218,PANGANDARAN,BERAS,803.42,2906.93,2103.52,TON,2,SEPTEMBER,2022,SURPLUS
398,398,32.18,3218,PANGANDARAN,JAGUNG,0.37,39.61,39.24,TON,2,SEPTEMBER,2022,SURPLUS
399,399,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,7.04,-16.33,TON,2,SEPTEMBER,2022,DEFISIT
400,400,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.26,0.53,TON,2,SEPTEMBER,2022,SURPLUS
401,401,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,4.62,2.34,TON,2,SEPTEMBER,2022,SURPLUS
402,402,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,17.04,1.5,TON,2,SEPTEMBER,2022,SURPLUS
403,403,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,9.08,5.24,TON,2,SEPTEMBER,2022,SURPLUS
404,404,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,108.5,50.49,TON,2,SEPTEMBER,2022,SURPLUS
405,405,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,55,6.56,TON,2,SEPTEMBER,2022,SURPLUS
406,406,32.18,3218,PANGANDARAN,GULA PASIR,22,23.43,1.43,TON,2,SEPTEMBER,2022,SURPLUS
407,407,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,93.65,3.32,TON,2,SEPTEMBER,2022,SURPLUS
408,408,32.18,3218,PANGANDARAN,BERAS,803.4190153,2904.48484,2101.065825,TON,3,SEPTEMBER,2022,SURPLUS
409,409,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,40.555,40.18877281,TON,3,SEPTEMBER,2022,SURPLUS
410,410,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,7.14,-16.224407,TON,3,SEPTEMBER,2022,DEFISIT
411,411,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.365,0.635187539,TON,3,SEPTEMBER,2022,SURPLUS
412,412,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.55,2.272745883,TON,3,SEPTEMBER,2022,SURPLUS
413,413,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,16.9,1.357397753,TON,3,SEPTEMBER,2022,SURPLUS
414,414,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.59,4.74624144,TON,3,SEPTEMBER,2022,SURPLUS
415,415,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.15,50.13603789,TON,3,SEPTEMBER,2022,SURPLUS
416,416,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44495,55,6.55505,TON,3,SEPTEMBER,2022,SURPLUS
417,417,32.18,3218,PANGANDARAN,GULA PASIR,21.99560222,23.43,1.434397783,TON,3,SEPTEMBER,2022,SURPLUS
418,418,32.18,3218,PANGANDARAN,MINYAK GORENG,90.32536555,91.9,1.574634451,TON,3,SEPTEMBER,2022,SURPLUS
419,419,32.18,3218,PANGANDARAN,BERAS,803.4190153,2909.38484,2105.965825,TON,4,SEPTEMBER,2022,SURPLUS
420,420,32.18,3218,PANGANDARAN,JAGUNG,0.366227191,41.29,40.92377281,TON,4,SEPTEMBER,2022,SURPLUS
421,421,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36440705,23.365,0.000592955,TON,4,SEPTEMBER,2022,SURPLUS
422,422,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.729812461,10.925,1.195187539,TON,4,SEPTEMBER,2022,SURPLUS
423,423,32.18,3218,PANGANDARAN,CABAI BESAR,2.277254117,4.585,2.307745883,TON,4,SEPTEMBER,2022,SURPLUS
424,424,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54260225,17.04,1.497397753,TON,4,SEPTEMBER,2022,SURPLUS
425,425,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84375856,8.1,4.25624144,TON,4,SEPTEMBER,2022,SURPLUS
426,426,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01396211,108.85,50.83603789,TON,4,SEPTEMBER,2022,SURPLUS
