id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
43,43,32.18,3218,PANGANDARAN,GULA PASIR,22,20.805,-1.195,TON,4,JANUARI,2022,DEFISIT
44,44,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,20.95,-69.38,TON,4,JANUARI,2022,DEFISIT
45,45,32.18,3218,PANGANDARAN,BERAS,803.42,1150.43057,347.0105697,TON,5,JANUARI,2022,SURPLUS
46,46,32.18,3218,PANGANDARAN,JAGUNG,0.37,7.785,7.415,TON,5,JANUARI,2022,SURPLUS
47,47,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,6.59,-16.77,TON,5,JANUARI,2022,DEFISIT
48,48,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.51,-6.22,TON,5,JANUARI,2022,DEFISIT
49,49,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,7.39,5.11,TON,5,JANUARI,2022,SURPLUS
50,50,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,12.96,-2.58,TON,5,JANUARI,2022,DEFISIT
51,51,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,16.95,13.11,TON,5,JANUARI,2022,SURPLUS
52,52,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,99.36,41.35,TON,5,JANUARI,2022,SURPLUS
53,53,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,48.32,-0.12,TON,5,JANUARI,2022,DEFISIT
54,54,32.18,3218,PANGANDARAN,GULA PASIR,22,20.84,-1.16,TON,5,JANUARI,2022,DEFISIT
55,55,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,31.905,-58.425,TON,5,JANUARI,2022,DEFISIT
56,56,32.18,3218,PANGANDARAN,BERAS,803.42,7359.764253,6556.344253,TON,1,FEBRUARI,2022,SURPLUS
57,57,32.18,3218,PANGANDARAN,JAGUNG,0.37,12.83,12.46,TON,1,FEBRUARI,2022,SURPLUS
58,58,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,31.225,7.865,TON,1,FEBRUARI,2022,SURPLUS
59,59,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,5.98,-3.75,TON,1,FEBRUARI,2022,DEFISIT
60,60,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,14.615,12.335,TON,1,FEBRUARI,2022,SURPLUS
61,61,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,17.54,2,TON,1,FEBRUARI,2022,DEFISIT
62,62,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,21.26,17.42,TON,1,FEBRUARI,2022,SURPLUS
63,63,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,167,108.99,TON,1,FEBRUARI,2022,SURPLUS
64,64,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,51.93,3.49,TON,1,FEBRUARI,2022,SURPLUS
65,65,32.18,3218,PANGANDARAN,GULA PASIR,22,35.61,13.61,TON,1,FEBRUARI,2022,SURPLUS
66,66,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,32.77,-57.56,TON,1,FEBRUARI,2022,DEFISIT
67,67,32.18,3218,PANGANDARAN,BERAS,803.42,7359.764253,6556.344253,TON,2,FEBRUARI,2022,SURPLUS
68,68,32.18,3218,PANGANDARAN,JAGUNG,0.37,13.18,12.81,TON,2,FEBRUARI,2022,SURPLUS
69,69,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,31.225,7.865,TON,2,FEBRUARI,2022,DEFISIT
70,70,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,6.155,-3.575,TON,2,FEBRUARI,2022,DEFISIT
71,71,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,14.755,12.475,TON,2,FEBRUARI,2022,SURPLUS
72,72,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,17.61,2.07,TON,2,FEBRUARI,2022,DEFISIT
73,73,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,21.26,17.42,TON,2,FEBRUARI,2022,SURPLUS
74,74,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,167,108.99,TON,2,FEBRUARI,2022,SURPLUS
75,75,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,60.23,11.79,TON,2,FEBRUARI,2022,SURPLUS
76,76,32.18,3218,PANGANDARAN,GULA PASIR,22,36.31,14.31,TON,2,FEBRUARI,2022,SURPLUS
77,77,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,23.67,-66.66,TON,2,FEBRUARI,2022,DEFISIT
78,78,32.18,3218,PANGANDARAN,BERAS,803.42,7359.414253,6555.994253,TON,3,FEBRUARI,2022,SURPLUS
79,79,32.18,3218,PANGANDARAN,JAGUNG,0.37,13.005,12.635,TON,3,FEBRUARI,2022,SURPLUS
80,80,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,31.12,7.76,TON,3,FEBRUARI,2022,DEFISIT
81,81,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,6.085,-3.645,TON,3,FEBRUARI,2022,DEFISIT
82,82,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,11.44,9.16,TON,3,FEBRUARI,2022,SURPLUS
83,83,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,17.47,1.93,TON,3,FEBRUARI,2022,DEFISIT
84,84,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,21.61,17.77,TON,3,FEBRUARI,2022,SURPLUS
85,85,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,167.07,109.06,TON,3,FEBRUARI,2022,SURPLUS
86,86,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,59.25,10.81,TON,3,FEBRUARI,2022,SURPLUS
87,87,32.18,3218,PANGANDARAN,GULA PASIR,22,36.205,14.205,TON,3,FEBRUARI,2022,SURPLUS
88,88,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,63.75,-26.58,TON,3,FEBRUARI,2022,DEFISIT
89,89,32.18,3218,PANGANDARAN,BERAS,803.42,9045.061159,8241.641159,TON,1,MARET,2022,SURPLUS
90,90,32.18,3218,PANGANDARAN,JAGUNG,0.37,11.71,11.34,TON,1,MARET,2022,SURPLUS
91,91,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,8.225,-15.135,TON,1,MARET,2022,DEFISIT
92,92,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.71,-6.02,TON,1,MARET,2022,DEFISIT
93,93,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,9.685,7.405,TON,1,MARET,2022,SURPLUS
94,94,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,13.42,-2.12,TON,1,MARET,2022,DEFISIT
95,95,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,19.2,15.36,TON,1,MARET,2022,SURPLUS
96,96,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,102.2,44.19,TON,1,MARET,2022,SURPLUS
97,97,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,81.6,33.16,TON,1,MARET,2022,SURPLUS
98,98,32.18,3218,PANGANDARAN,GULA PASIR,22,21.44,-0.56,TON,1,MARET,2022,DEFISIT
99,99,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,17,-73.33,TON,1,MARET,2022,DEFISIT
100,100,32.18,3218,PANGANDARAN,BERAS,803.42,9044.361159,8240.941159,TON,2,MARET,2022,SURPLUS
101,101,32.18,3218,PANGANDARAN,JAGUNG,0.37,9.82,9.45,TON,2,MARET,2022,SURPLUS
102,102,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,8.575,-14.785,TON,2,MARET,2022,DEFISIT
103,103,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,4.655,-5.075,TON,2,MARET,2022,DEFISIT
104,104,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,9.825,7.545,TON,2,MARET,2022,SURPLUS
105,105,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,13.21,-2.33,TON,2,MARET,2022,DEFISIT
106,106,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,19.2,15.36,TON,2,MARET,2022,SURPLUS
107,107,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,101.5,43.49,TON,2,MARET,2022,SURPLUS
108,108,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,79.5,31.06,TON,2,MARET,2022,SURPLUS
109,109,32.18,3218,PANGANDARAN,GULA PASIR,22,20.88,-1.12,TON,2,MARET,2022,DEFISIT
110,110,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,11.407,-78.923,TON,2,MARET,2022,DEFISIT
111,111,32.18,3218,PANGANDARAN,BERAS,803.42,9044.361159,8240.941159,TON,3,MARET,2022,SURPLUS
112,112,32.18,3218,PANGANDARAN,JAGUNG,0.37,9.82,9.45,TON,3,MARET,2022,SURPLUS
113,113,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,8.575,-14.785,TON,3,MARET,2022,DEFISIT
114,114,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,4.655,-5.075,TON,3,MARET,2022,DEFISIT
115,115,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,9.825,7.545,TON,3,MARET,2022,SURPLUS
116,116,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,13.21,-2.33,TON,3,MARET,2022,DEFISIT
117,117,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,19.2,15.36,TON,3,MARET,2022,SURPLUS
118,118,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,101.5,43.49,TON,3,MARET,2022,SURPLUS
119,119,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,37.5,-10.94,TON,3,MARET,2022,DEFISIT
120,120,32.18,3218,PANGANDARAN,GULA PASIR,22,20.88,-1.12,TON,3,MARET,2022,DEFISIT
121,121,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,11.407,-78.923,TON,3,MARET,2022,DEFISIT
122,122,32.18,3218,PANGANDARAN,BERAS,803.42,9044.361159,8240.941159,TON,4,MARET,2022,SURPLUS
123,123,32.18,3218,PANGANDARAN,JAGUNG,0.37,9.995,9.625,TON,4,MARET,2022,SURPLUS
124,124,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,8.295,-15.065,TON,4,MARET,2022,DEFISIT
125,125,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.815,-5.915,TON,4,MARET,2022,DEFISIT
126,126,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,9.58,7.3,TON,4,MARET,2022,SURPLUS
127,127,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,13.7,-1.84,TON,4,MARET,2022,DEFISIT
128,128,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,19.55,15.71,TON,4,MARET,2022,SURPLUS
129,129,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,102.13,44.12,TON,4,MARET,2022,SURPLUS
130,130,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,38.55,-9.89,TON,4,MARET,2022,DEFISIT
131,131,32.18,3218,PANGANDARAN,GULA PASIR,22,20.81,-1.19,TON,4,MARET,2022,DEFISIT
